protein,ligand,short_name,category,DG,distance,is_productive
A13,41_Indole-3-acetaldehyde,indole-3-acetald.,Aromatic,-7.49,3.56,True
A13,42_Glutamate-5-semialdehyde,Glu-5-semiald.,Semialdehyde,-6.24,2.854,True
A13,43_Glutamate-1-semialdehyde,Glu-1-semiald.,Semialdehyde,-6.21,7.377,False
A13,44_glutarate semialdehyde,glutarate-semiald.,Semialdehyde,-6.46,2.972,True
A13,45_adipate semialdehyde,adipate-semiald.,Semialdehyde,-6.64,4.305,False
A13,46_Succinic semialdehyde,succinic-semiald.,Semialdehyde,-6.2,3.118,True
A13,47_methylmalonate semialdehyde,MeMal-semiald.,Semialdehyde,-6.25,5.025,False
A13,48_alpha-aminoadipate semialdehyde,α-AASA,Semialdehyde,-6.54,2.762,True
A13,49_2-Aminomuconic semialdehyde,2-AM-semiald.,Semialdehyde,-6.31,2.951,True
A13,4_malonaldehyde,malonaldehyde,Short-chain,-5.96,3.428,True
A13,50_10-formyltetrahydrofolate,10-formyl-THF,Other,-7.29,6.739,False
A13,52_Triose phosphate,Triose phosphate,Other,-6.12,4.428,False
A13,53_Pyridoxal phosphate,Pyridoxal phosphate,Other,-6.96,14.125,False
A13,57_S-3-oxopropylglutathione,S-3-oxopropyl-GSH,Other,-7.78,2.628,True
A13,58_S-(4-oxobutan-2-yl)glutathione,S-4-oxobutyl-GSH,Other,-7.76,11.799,False
A13,5_butyraldehyde,butyraldehyde,Short-chain,-6.28,3.647,True
A13,60_S-Formylglutathione,S-formyl-GSH,Other,-7.09,2.979,True
A13,6_amylaldehyde,amylaldehyde,Short-chain,-6.49,6.314,False
A13,7_glutaraldehyde,glutaraldehyde,Medium-chain,-6.46,7.758,False
A13,8_hexanal,hexanal,Medium-chain,-6.75,6.478,False
A13,9_2-hydroxypropionaldehyde,2-hydroxypropionaldeh…,Short-chain,-6.02,3.096,True
A14,10_4-guanidinobutyraldehyde,γ-guanidinobutyr-ald.,Semialdehyde,-6.1,2.998,True
A14,11_prop-2-enal,prop-2-enal,"α,β-Unsaturated",-6.09,1.267,True
A14,12_prop-2-ynal,prop-2-ynal,"α,β-Unsaturated",-6.06,2.223,True
A14,13_(2E)-but-2-enal,(2E)-but-2-enal,"α,β-Unsaturated",-6.33,1.931,True
A14,14_trans-2-Hexenal,trans-2-Hexenal,"α,β-Unsaturated",-6.56,4.354,False
A14,15_heptanal,heptanal,Medium-chain,-7.03,1.85,True
A14,16_octanaldehyde,octanaldehyde,Medium-chain,-7.44,3.046,True
A14,17_nonanal,nonanal,Medium-chain,-7.07,9.877,False
A14,18_decanal,decanal,Medium-chain,-7.5,2.565,True
A14,19_dodecanal,dodecanal,Medium-chain,-7.69,4.425,False
A14,20_Citral,Citral,"α,β-Unsaturated",-8.04,3.88,True
A14,21_cis-2-Octenal,cis-2-Octenal,"α,β-Unsaturated",-7.46,5.449,False
A14,22_trans-2-Octenal,trans-2-Octenal,"α,β-Unsaturated",-7.09,2.298,True
A14,23_4-Hydroxynonenal,4-HNE,"α,β-Unsaturated",-7.06,10.293,False
A14,24_Tetradecanal,Tetradecanal,Medium-chain,-7.88,10.1,False
A14,25_hexadecanal,hexadecanal,Medium-chain,-8.47,6.389,False
A14,26_trans-2-hexadecenal,t-2-hexadecenal,"α,β-Unsaturated",-8.55,4.645,False
A14,27_Benzaldehyde,benzald.,Aromatic,-5.89,34.477,False
A14,28_Phenylacetaldehyde,phenylacetald.,Aromatic,-7.33,2.581,True
A14,29_Salicylaldehyde,salicylald.,Aromatic,-7.18,4.199,False
A14,2_acetaldehyde,acetaldehyde,Short-chain,-5.63,9.882,False
A14,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal","3,4-(OH)₂-cinnamald.",Aromatic,-7.64,7.302,False
A14,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",β-carotene ald.,Retinoid,-9.33,5.69,False
A14,32_9-cis-Retinal,9-cis-retinal,Retinoid,-8.82,8.761,False
A14,34_4-hydroxy-2-nonenal,4-OH-2-nonenal,"α,β-Unsaturated",-7.28,2.277,True
A14,35_Cinnamaldehyde,cinnamald.,Aromatic,-7.04,11.804,False
A14,36_3-(4-Isopropylphenyl)-2-methylpropanal,iPr-Ph methylpropanal,Aromatic,-8.04,11.392,False
A14,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",DHF-OH-acetald.,Aromatic,-6.68,3.645,True
A14,39_4-nitrobenzaldehyde,4-NO₂-benzald.,Aromatic,-6.69,2.895,True
