protein,ligand,DG,col_index,lig_num,category
A9,56_S-hydroxy-methylglutathione,-7.47,36,56,Other
A10,56_S-hydroxy-methylglutathione,-6.88,36,56,Other
A11,56_S-hydroxy-methylglutathione,-7.44,36,56,Other
A12,56_S-hydroxy-methylglutathione,-7.52,36,56,Other
A13,56_S-hydroxy-methylglutathione,-7.23,36,56,Other
A14,56_S-hydroxy-methylglutathione,-6.98,36,56,Other
A8,60_S-Formylglutathione,-7.44,37,60,Other
A9,60_S-Formylglutathione,-7.58,37,60,Other
A10,60_S-Formylglutathione,-7.71,37,60,Other
A11,60_S-Formylglutathione,-7.39,37,60,Other
A12,60_S-Formylglutathione,-7.52,37,60,Other
A13,60_S-Formylglutathione,-7.09,37,60,Other
A14,60_S-Formylglutathione,-7.08,37,60,Other
A8,18_decanal,-7.74,38,18,Medium-chain
A9,18_decanal,-7.64,38,18,Medium-chain
A10,18_decanal,-7.48,38,18,Medium-chain
A11,18_decanal,-6.95,38,18,Medium-chain
A12,18_decanal,-7.56,38,18,Medium-chain
A13,18_decanal,-7.38,38,18,Medium-chain
A14,18_decanal,-7.5,38,18,Medium-chain
A8,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.54,39,30,Aromatic
A9,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.44,39,30,Aromatic
A10,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.36,39,30,Aromatic
A11,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.02,39,30,Aromatic
A12,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.39,39,30,Aromatic
A13,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.46,39,30,Aromatic
A14,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.64,39,30,Aromatic
A8,41_Indole-3-acetaldehyde,-7.78,40,41,Aromatic
A9,41_Indole-3-acetaldehyde,-7.59,40,41,Aromatic
A10,41_Indole-3-acetaldehyde,-7.43,40,41,Aromatic
A11,41_Indole-3-acetaldehyde,-7.21,40,41,Aromatic
A12,41_Indole-3-acetaldehyde,-7.62,40,41,Aromatic
A13,41_Indole-3-acetaldehyde,-7.49,40,41,Aromatic
A14,41_Indole-3-acetaldehyde,-7.13,40,41,Aromatic
A8,17_nonanal,-7.5,41,17,Medium-chain
A9,17_nonanal,-7.4,41,17,Medium-chain
A10,17_nonanal,-7.25,41,17,Medium-chain
A11,17_nonanal,-6.82,41,17,Medium-chain
A12,17_nonanal,-7.39,41,17,Medium-chain
A13,17_nonanal,-7.42,41,17,Medium-chain
A14,17_nonanal,-7.07,41,17,Medium-chain
A8,23_4-Hydroxynonenal,-7.49,42,23,"α,β-Unsaturated"
A9,23_4-Hydroxynonenal,-7.37,42,23,"α,β-Unsaturated"
A10,23_4-Hydroxynonenal,-7.42,42,23,"α,β-Unsaturated"
A11,23_4-Hydroxynonenal,-7.07,42,23,"α,β-Unsaturated"
A12,23_4-Hydroxynonenal,-7.31,42,23,"α,β-Unsaturated"
A13,23_4-Hydroxynonenal,-7.38,42,23,"α,β-Unsaturated"
A14,23_4-Hydroxynonenal,-7.06,42,23,"α,β-Unsaturated"
A8,34_4-hydroxy-2-nonenal,-7.44,43,34,"α,β-Unsaturated"
A9,34_4-hydroxy-2-nonenal,-7.35,43,34,"α,β-Unsaturated"
A10,34_4-hydroxy-2-nonenal,-7.38,43,34,"α,β-Unsaturated"
A11,34_4-hydroxy-2-nonenal,-7.06,43,34,"α,β-Unsaturated"
A12,34_4-hydroxy-2-nonenal,-7.5,43,34,"α,β-Unsaturated"
A13,34_4-hydroxy-2-nonenal,-7.4,43,34,"α,β-Unsaturated"
A14,34_4-hydroxy-2-nonenal,-7.28,43,34,"α,β-Unsaturated"
A8,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.62,44,31,Retinoid
A9,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.35,44,31,Retinoid
A10,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.16,44,31,Retinoid
A11,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-8.72,44,31,Retinoid
A12,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-10.45,44,31,Retinoid
A13,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.67,44,31,Retinoid
A14,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.33,44,31,Retinoid
A8,32_9-cis-Retinal,-9.43,45,32,Retinoid
A9,32_9-cis-Retinal,-9.37,45,32,Retinoid
A10,32_9-cis-Retinal,-9.55,45,32,Retinoid
A11,32_9-cis-Retinal,-8.24,45,32,Retinoid
A12,32_9-cis-Retinal,-9.81,45,32,Retinoid
A13,32_9-cis-Retinal,-9.66,45,32,Retinoid
A14,32_9-cis-Retinal,-8.82,45,32,Retinoid
A8,33_11-cis-Retinol,-9.41,46,33,Retinoid
A9,33_11-cis-Retinol,-9.14,46,33,Retinoid
A10,33_11-cis-Retinol,-8.86,46,33,Retinoid
A11,33_11-cis-Retinol,-8.06,46,33,Retinoid
A12,33_11-cis-Retinol,-9.13,46,33,Retinoid
A13,33_11-cis-Retinol,-9.57,46,33,Retinoid
A14,33_11-cis-Retinol,-8.71,46,33,Retinoid
A8,51_6R-Tetrahydrofolic acid,-7.51,47,51,Other
A9,51_6R-Tetrahydrofolic acid,-7.99,47,51,Other
A10,51_6R-Tetrahydrofolic acid,-7.91,47,51,Other
A11,51_6R-Tetrahydrofolic acid,-7.59,47,51,Other
A12,51_6R-Tetrahydrofolic acid,-8.98,47,51,Other
A13,51_6R-Tetrahydrofolic acid,-7.73,47,51,Other
A14,51_6R-Tetrahydrofolic acid,-8.44,47,51,Other
A8,20_Citral,-7.77,48,20,"α,β-Unsaturated"
A9,20_Citral,-7.65,48,20,"α,β-Unsaturated"
A10,20_Citral,-7.51,48,20,"α,β-Unsaturated"
A11,20_Citral,-7.17,48,20,"α,β-Unsaturated"
A12,20_Citral,-7.57,48,20,"α,β-Unsaturated"
A13,20_Citral,-7.82,48,20,"α,β-Unsaturated"
A14,20_Citral,-8.04,48,20,"α,β-Unsaturated"
A8,19_dodecanal,-8.27,49,19,Medium-chain
A9,19_dodecanal,-8.06,49,19,Medium-chain
A10,19_dodecanal,-7.86,49,19,Medium-chain
A11,19_dodecanal,-7.35,49,19,Medium-chain
A12,19_dodecanal,-8.08,49,19,Medium-chain
A13,19_dodecanal,-8.24,49,19,Medium-chain
A14,19_dodecanal,-7.69,49,19,Medium-chain
A8,40_Furan-2-carbaldehyde,-7.95,50,40,Aromatic
A9,40_Furan-2-carbaldehyde,-7.97,50,40,Aromatic
A10,40_Furan-2-carbaldehyde,-7.59,50,40,Aromatic
A11,40_Furan-2-carbaldehyde,-7.67,50,40,Aromatic
A12,40_Furan-2-carbaldehyde,-7.91,50,40,Aromatic
A13,40_Furan-2-carbaldehyde,-7.88,50,40,Aromatic
A14,40_Furan-2-carbaldehyde,-7.69,50,40,Aromatic
A8,58_S-(4-oxobutan-2-yl)glutathione,-8.42,51,58,Other
A9,58_S-(4-oxobutan-2-yl)glutathione,-8.21,51,58,Other
A10,58_S-(4-oxobutan-2-yl)glutathione,-8.03,51,58,Other
A11,58_S-(4-oxobutan-2-yl)glutathione,-8.21,51,58,Other
A12,58_S-(4-oxobutan-2-yl)glutathione,-8.36,51,58,Other
A13,58_S-(4-oxobutan-2-yl)glutathione,-7.76,51,58,Other
A14,58_S-(4-oxobutan-2-yl)glutathione,-7.5,51,58,Other
A8,50_10-formyltetrahydrofolate,-7.69,52,50,Other
A9,50_10-formyltetrahydrofolate,-8.05,52,50,Other
A10,50_10-formyltetrahydrofolate,-7.87,52,50,Other
A11,50_10-formyltetrahydrofolate,-8.19,52,50,Other
A12,50_10-formyltetrahydrofolate,-7.99,52,50,Other
A13,50_10-formyltetrahydrofolate,-7.29,52,50,Other
A14,50_10-formyltetrahydrofolate,-7.29,52,50,Other
A8,57_S-3-oxopropylglutathione,-7.22,53,57,Other
A9,57_S-3-oxopropylglutathione,-8.19,53,57,Other
A10,57_S-3-oxopropylglutathione,-7.5,53,57,Other
A11,57_S-3-oxopropylglutathione,-7.82,53,57,Other
A12,57_S-3-oxopropylglutathione,-8.23,53,57,Other
A13,57_S-3-oxopropylglutathione,-7.78,53,57,Other
A14,57_S-3-oxopropylglutathione,-7.57,53,57,Other
A8,59_4-Hydroxynonenal_glutathione,-8.24,54,59,Other
A9,59_4-Hydroxynonenal_glutathione,-8.61,54,59,Other
A10,59_4-Hydroxynonenal_glutathione,-8.71,54,59,Other
A11,59_4-Hydroxynonenal_glutathione,-8.9,54,59,Other
A12,59_4-Hydroxynonenal_glutathione,-8.58,54,59,Other
A13,59_4-Hydroxynonenal_glutathione,-9.14,54,59,Other
A14,59_4-Hydroxynonenal_glutathione,-8.84,54,59,Other
A8,25_hexadecanal,-8.77,55,25,Medium-chain
A9,25_hexadecanal,-8.6,55,25,Medium-chain
A10,25_hexadecanal,-7.97,55,25,Medium-chain
A11,25_hexadecanal,-7.42,55,25,Medium-chain
A12,25_hexadecanal,-9.0,55,25,Medium-chain
A13,25_hexadecanal,-9.06,55,25,Medium-chain
A14,25_hexadecanal,-8.47,55,25,Medium-chain
A8,26_trans-2-hexadecenal,-8.78,56,26,"α,β-Unsaturated"
A9,26_trans-2-hexadecenal,-8.44,56,26,"α,β-Unsaturated"
A10,26_trans-2-hexadecenal,-8.06,56,26,"α,β-Unsaturated"
A11,26_trans-2-hexadecenal,-7.38,56,26,"α,β-Unsaturated"
A12,26_trans-2-hexadecenal,-8.95,56,26,"α,β-Unsaturated"
A13,26_trans-2-hexadecenal,-8.8,56,26,"α,β-Unsaturated"
A14,26_trans-2-hexadecenal,-8.55,56,26,"α,β-Unsaturated"
A8,24_Tetradecanal,-8.27,57,24,Medium-chain
A9,24_Tetradecanal,-8.35,57,24,Medium-chain
A10,24_Tetradecanal,-8.16,57,24,Medium-chain
A11,24_Tetradecanal,-7.12,57,24,Medium-chain
A12,24_Tetradecanal,-8.58,57,24,Medium-chain
A13,24_Tetradecanal,-8.43,57,24,Medium-chain
