protein,ligand,DG,is_strong,lig_num,category,short_name,n_prots
A8,15_heptanal,-6.98,0,15,Medium-chain,heptanal,1.0
A8,16_octanaldehyde,-7.2,1,16,Medium-chain,octanaldehyde,6.0
A8,17_nonanal,-7.5,1,17,Medium-chain,nonanal,6.0
A8,18_decanal,-7.74,1,18,Medium-chain,decanal,6.0
A8,19_dodecanal,-8.27,1,19,Medium-chain,dodecanal,7.0
A8,20_Citral,-7.77,1,20,"α,β-Unsaturated",Citral,7.0
A8,21_cis-2-Octenal,-7.23,1,21,"α,β-Unsaturated",cis-2-Octenal,6.0
A8,22_trans-2-Octenal,-7.23,1,22,"α,β-Unsaturated",trans-2-Octenal,5.0
A8,23_4-Hydroxynonenal,-7.49,1,23,"α,β-Unsaturated",4-HNE,7.0
A8,24_Tetradecanal,-8.27,1,24,Medium-chain,Tetradecanal,7.0
A8,25_hexadecanal,-8.77,1,25,Medium-chain,hexadecanal,7.0
A8,26_trans-2-hexadecenal,-8.78,1,26,"α,β-Unsaturated",t-2-hexadecenal,7.0
A8,27_Benzaldehyde,-6.95,0,27,Aromatic,benzald.,0.0
A8,28_Phenylacetaldehyde,-7.2,1,28,Aromatic,phenylacetald.,5.0
A8,29_Salicylaldehyde,-7.0,1,29,Aromatic,salicylald.,2.0
A8,2_acetaldehyde,-5.73,0,2,Short-chain,acetaldehyde,0.0
A8,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.54,1,30,Aromatic,"3,4-(OH)₂-cinnamald.",7.0
A8,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.62,1,31,Retinoid,β-carotene ald.,7.0
A8,32_9-cis-Retinal,-9.43,1,32,Retinoid,9-cis-retinal,7.0
A8,34_4-hydroxy-2-nonenal,-7.44,1,34,"α,β-Unsaturated",4-OH-2-nonenal,7.0
A8,35_Cinnamaldehyde,-7.51,1,35,Aromatic,cinnamald.,5.0
A8,36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.58,1,36,Aromatic,iPr-Ph methylpropanal,7.0
