protein,ligand,rank1_confidence,DG_prediction_kcalmol,prodigy_rc
A12,58_S-(4-oxobutan-2-yl)glutathione,-1.21,-8.36,0
A12,59_4-Hydroxynonenal_glutathione,-1.59,-8.58,0
A12,5_butyraldehyde,-0.06,-6.2,0
A12,60_S-Formylglutathione,-0.44,-7.52,0
A12,6_amylaldehyde,-0.26,-6.46,0
A12,7_glutaraldehyde,-0.27,-6.39,0
A12,8_hexanal,-0.7,-6.69,0
A12,9_2-hydroxypropionaldehyde,-0.13,-5.94,0
A13,10_4-guanidinobutyraldehyde,-0.7,-5.56,0
A13,11_prop-2-enal,-0.4,-5.99,0
A13,12_prop-2-ynal,-0.17,-5.96,0
A13,13_(2E)-but-2-enal,-0.68,-6.23,0
A13,14_trans-2-Hexenal,-0.91,-6.76,0
A13,15_heptanal,-1.43,-6.98,0
A13,16_octanaldehyde,-0.84,-7.15,0
A13,17_nonanal,-0.52,-7.42,0
A13,18_decanal,-1.51,-7.38,0
A13,19_dodecanal,-1.41,-8.24,0
A13,1_formaldehyde,0.25,-5.4,0
A13,20_Citral,-1.11,-7.82,0
A13,21_cis-2-Octenal,-0.68,-7.16,0
A13,22_trans-2-Octenal,-1.37,-6.95,0
A13,23_4-Hydroxynonenal,-1.18,-7.38,0
A13,24_Tetradecanal,-0.93,-8.43,0
A13,25_hexadecanal,-2.02,-9.06,0
A13,26_trans-2-hexadecenal,-1.58,-8.8,0
A13,27_Benzaldehyde,-0.55,-6.9,0
A13,28_Phenylacetaldehyde,-1.21,-7.29,0
A13,29_Salicylaldehyde,-1.36,-6.96,0
A13,2_acetaldehyde,-0.1,-5.73,0
A13,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-1.56,-7.46,0
A13,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-2.39,-9.67,0
A13,32_9-cis-Retinal,-2.26,-9.66,0
A13,33_11-cis-Retinol,-2.45,-9.57,0
A13,34_4-hydroxy-2-nonenal,-1.03,-7.4,0
A13,35_Cinnamaldehyde,-1.48,-7.38,0
A13,36_3-(4-Isopropylphenyl)-2-methylpropanal,-1.78,-8.26,0
A13,37_thiobenzaldehyde,-0.36,-7.41,0
A13,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-0.9,-6.59,0
A13,39_4-nitrobenzaldehyde,-0.58,-6.72,0
A13,3_propylaldehyde,-0.36,-5.96,0
A13,40_Furan-2-carbaldehyde,-0.77,-7.88,0
A13,41_Indole-3-acetaldehyde,-0.6,-7.49,0
A13,42_Glutamate-5-semialdehyde,-0.45,-6.24,0
A13,43_Glutamate-1-semialdehyde,-0.68,-6.21,0
A13,44_glutarate semialdehyde,-0.19,-6.46,0
A13,45_adipate semialdehyde,-0.53,-6.64,0
A13,46_Succinic semialdehyde,-0.33,-6.2,0
A13,47_methylmalonate semialdehyde,-0.71,-6.25,0
A13,48_alpha-aminoadipate semialdehyde,-0.76,-6.54,0
A13,49_2-Aminomuconic semialdehyde,-0.56,-6.31,0
A13,4_malonaldehyde,-0.32,-5.96,0
A13,50_10-formyltetrahydrofolate,-1.45,-7.29,0
A13,51_6R-Tetrahydrofolic acid,-1.03,-7.73,0
A13,52_Triose phosphate,-0.73,-6.12,0
A13,53_Pyridoxal phosphate,-0.77,-6.96,0
A13,55_Ethanol,-0.06,-5.71,0
A13,56_S-hydroxy-methylglutathione,-1.18,-7.23,0
A13,57_S-3-oxopropylglutathione,-1.25,-7.78,0
A13,58_S-(4-oxobutan-2-yl)glutathione,-1.6,-7.76,0
A13,59_4-Hydroxynonenal_glutathione,-1.47,-9.14,0
A13,5_butyraldehyde,-0.63,-6.28,0
A13,60_S-Formylglutathione,-0.98,-7.09,0
A13,6_amylaldehyde,-0.77,-6.49,0
A13,7_glutaraldehyde,-0.42,-6.46,0
A13,8_hexanal,-0.81,-6.75,0
A13,9_2-hydroxypropionaldehyde,-0.55,-6.02,0
A14,10_4-guanidinobutyraldehyde,-0.27,-6.1,0
A14,11_prop-2-enal,-0.32,-6.09,0
A14,12_prop-2-ynal,-0.32,-6.06,0
A14,13_(2E)-but-2-enal,-0.82,-6.33,0
A14,14_trans-2-Hexenal,-0.47,-6.56,0
